GR Number,Branch,Gender,Division,Height,Weight,CGPA,SGPA,Clubs
22010931,Computer Science,M,A,175,75,9.60,9.8,2
22120276,Computer Science,M,A,182.88,54.4,9.60,None,None
22120064,Computer Science,M,A,177,67,9.50,Not Conducted DSY = 89.33 %,EDC
22011164,Computer Science,M,A,165,57.4,9.80,10,2
22010866,Computer Science,M,A,165cm,60 kg,9.70,9.7,2
22120243,Computer Science,M,A,161 cm ,76 kgs,9.50,Null,2
22010015,Computer Science,M,A,175,72,9.43,9.44,0
22010918,Computer Science,M,A,173,69,9.60,9.6,0
22120234,Computer Science,M,A,180,74.5,9.50,Null,Null
22010037,Computer Science,M,A,176.25,88.5,9.69,9.5,"Symposium VIIT, Blockchain Forum VIIT"
22010800,Computer Science,M,A,180,65.3,9.81,9.79,No
22010351,Computer Science,M,A,179.8,90,9.81,9.79,0
22120186,Computer Science,M,A,173.7,70kg,9.50,Null,Null
221083,Computer Science,F,A,165,40,9.50,Null,None
22010680,Computer Science,M,A,170,50,9.79,9.75,2
22010895,Computer Science,F,A,162.56 cm,64 Kgs,9.63,9.58,0
22010708,Computer Science,M,A,180,67 Kgs,9.45,10,1
22120054,Computer Science,F,A,153,49,9.50,NA,0
22010206,Computer Science,M,A,167.64,68.8,9.75,9.5,0
22010431,Computer Science,F,A,160,59.5,9.60,9.4,3
22010780,Computer Science,M,A,165,49,9.93,9.87,1
22010749,Computer Science,M,A,165,58,10.00,9.8,-
22120029,Computer Science,M,A,180,55,9.40,9.4,EDC
22010131,Computer Science,M,D,177.8,68.4,9.73,9.73,0
22010539,Computer Science,M,D,167,58,9.80,9.7,2
22010764,Computer Science,F,D,153.86,45.6,9.80,9.57,2
22010738,Computer Science,M,D,173.4,77.7,9.50,9.3,0
22010524,Computer Science,M,D,172 cm,52,9.70,9.5,3
22010444,Computer Science,M,D,175cm,58kg,9.93,9.69,NA
22010886,Computer Science,M,D,180,73,9.86,9.75,1
22011055,Computer Science,M,D,165 cm,55 kgs,8.72,8.81,None 
22010375,Computer Science,M,D,180,62,9.80,9.7,2
22010562,Computer Science,M,D,180 cm,63 kg,9.90,9.8,0
22010624,Computer Science,F,D,158.94,45,9.93,9.91,  
22010410,Computer Science,M,D,15.74,61,9.59,9.08,1
22010770,Computer Science,M,D,167.6,71.4,10.00,10,1
22010214,Computer Science,M,D,154.32,54,8.10,8.2,VIIT
22010023,Computer Science,M,D,180 cm ,57 kgs ,9.82,9.68,2
22010061,Computer Science,M,A,170 cm,48,9.50,9.54,2
22010211,Computer Science,M,D,170,54,9.88,9.72,0
22011030,Computer Science,M,D,159.6,52,9.10,9.1,0
22010805,Computer Science,M,D,170.18 cm,65,9.72,9.58,0
22010043,Computer Science,M,D,180,63,9.30,9.6,Entrepreneurship development cell
22010492,Computer Science,F,D,158.49,40,9.80,9.78,2
22010223,Computer Science,M,D,179,68,9.81,9.71,0
22011114,Computer Science,F,D,169,58,9.80,9.6,0
22120100,Computer Science,M,A,170.1,55,9.50,NA,0
22010012,Computer Science,M,D,155.45,51,9.93,9.79,0
22010598,Computer Science,M,A,173cm,50kg,9.26,9.29,-
22011002,Computer Science,M,D,178.4,75.3,10.00,9.67,1
22120069,Computer Science,M,A,170,76,9.50,NA,0
22010446,Computer Science,F,D,157,67,9.75,9.54,7
22010927,Computer Science,M,D,176,54,9.10,8.6,"CEC,Blockchain club, physics reasearch club"
22010250,Computer Science,M,C,170,57,9.57,9.79,4
22010861,Computer Science,M,D,183,65,9.27,8.54,2
22010801,Computer Science,M,D,192,61,9.70,9.5,1
22010020,Computer Science,M,D,175,74.8,9.45,8.88,None
22010507,Computer Science,F,D,163,62,9.80,9.46,0
22010349,Computer Science,M,A,175,70,9.79,9.5,0
22010425,Computer Science,F,D,156,48,10.00,9.2,1
22010108,Computer Science,M,D,172,72,8.70,8.7,4
22010230,Computer Science,M,A,174,70,10.00,9.79,1
224030,Computer Science,M,D,170,78,9.80,9.7,2
22010379,Computer Science,M,D,174,65,9.86,8.14,3
22010288,AI and DS,M,B,172,75,10.00,9.86,"CEC, AISA"
22010064,Information Technology,M,C,180,74,9.36,9.16,None
22010459,Mechanical Engineering,M,C,178,58,9.81,9.46,0
22010202,Electronics and Telecommunication Eng,M,B,179,93,9.20,9.02,0
22010017,Electronics and Telecommunication Eng,M,B,175,89,9.60,8.5,0
22010692,Electronics and Telecommunication Eng,M,B,6ft,60kg,9.38,9.38,1
22010205,Electronics and Telecommunication Eng,F,B,160,57.5,9.93,9.2,1
22010344,Information Technology,M,C,166,69,10.00,9.6,ITSF
22010073,Information Technology,F,C,159,45.6,9.60,9.3,0
22011144,Electronics and Telecommunication Eng,M,C,178,63,9.80,9.38,"LIGHTHOUSE, EESA, WEC"
22011167,Information Technology,F,C,178,46,9.75,9.65,5 college clubs 
22010590,AI and DS,M,A,172 cm,68,9.70,9.8,2
22010846,Electronics and Telecommunication Eng,F,B,154,50,9.04,8.34,EDC
22010633,Information Technology,M,C,167,60,7.95,5.95,0
22120168,Information Technology,M,C,160,65,9.50,null,P
22010315,Information Technology,M,C,175,60,9.79,9.5,1
22010441,Information Technology,M,B,165.1cm,52,9.60,8.6,0
233024,Information Technology,M,C,181,68.9,9.81,9.71,1
22010148,Information Technology,M,C,170.10 cm,62.00 kgs,9.76,9.2,1
22010423,Information Technology,F,C,168,65,9.70,9.5,2
22010040,Computer Science,M,A,153.2,77.6,8.90,9.05,1
22011026,Mechanical Engineering,M,C,150 cm ,50,9.10,91,Vishwakarma college
22010294,Mechanical Engineering,M,C,183,74,9.40,9.2,1
